t,y,avg
263.0000000000,83.5210462140,82.0264868246
264.0000000000,85.3830333363,82.5634383624
265.0000000000,85.3830333363,83.0580395524
266.0000000000,87.3232300872,83.5730547075
267.0000000000,87.8210800299,84.3114605669
268.0000000000,89.3466697698,85.1596607895
269.0000000000,93.1047345786,86.3404825109
270.0000000000,92.5500183623,87.3336925265
271.0000000000,92.5500183623,88.0503910291
272.0000000000,93.1047345786,89.0087598655
273.0000000000,96.5673448278,90.3133897269
274.0000000000,95.9737035731,91.3724567506
275.0000000000,96.5673448278,92.4908878997
276.0000000000,98.3900593132,93.5975708223
277.0000000000,96.5673448278,94.4721973021
278.0000000000,95.9737035731,95.1349006825
279.0000000000,97.1678704295,95.5412142676
280.0000000000,96.5673448278,95.9429469141
281.0000000000,97.7754008314,96.4654851610
282.0000000000,97.7754008314,96.9325517863
283.0000000000,97.1678704295,96.9926043465
284.0000000000,98.3900593132,97.2342399205
285.0000000000,101.5747963290,97.7349850706
286.0000000000,97.7754008314,97.6735192224
287.0000000000,99.0119720645,97.9179819461
288.0000000000,99.0119720645,98.2218087952
289.0000000000,96.5673448278,98.1617562350
290.0000000000,100.2780802051,98.5328297728
291.0000000000,100.9225433161,98.8475440213
292.0000000000,95.3868289583,98.6086868339
293.0000000000,97.7754008314,98.6694398741
294.0000000000,97.7754008314,98.6079740260
295.0000000000,98.3900593132,98.2895003244
296.0000000000,96.5673448278,98.1686947240
297.0000000000,95.9737035731,97.8648678749
298.0000000000,95.3868289583,97.5023535643
299.0000000000,96.5673448278,97.5023535643
300.0000000000,101.5747963290,97.6320251766
301.0000000000,99.6412682713,97.5038976722
302.0000000000,97.7754008314,97.7427548595
303.0000000000,98.3900593132,97.8042207076
304.0000000000,97.7754008314,97.8042207076
305.0000000000,95.3868289583,97.5038976722
306.0000000000,95.9737035731,97.4445335467
307.0000000000,95.9737035731,97.4445335467
308.0000000000,95.9737035731,97.5032210082
309.0000000000,93.1047345786,97.1569599832
310.0000000000,97.7754008314,96.7770204335
311.0000000000,99.0119720645,96.7140908128
312.0000000000,96.5673448278,96.5932852125
313.0000000000,96.5673448278,96.4110137639
314.0000000000,97.7754008314,96.4110137639
315.0000000000,97.7754008314,96.6498709512
316.0000000000,97.7754008314,96.8300406771
317.0000000000,100.9225433161,97.3249246514
318.0000000000,97.7754008314,97.5050943772
319.0000000000,98.3900593132,98.0336268506
320.0000000000,100.9225433161,98.3483410991
321.0000000000,99.0119720645,98.3483410991
322.0000000000,100.2780802051,98.7194146368
323.0000000000,101.5747963290,99.2201597870
324.0000000000,104.2646021752,99.8690799213
325.0000000000,105.6601093789,100.6575507761
326.0000000000,106.3710729102,101.5171179840
327.0000000000,105.6601093789,101.9908745902
328.0000000000,100.9225433161,102.3055888387
329.0000000000,103.5797332575,102.8245562331
330.0000000000,102.9032439316,103.0226262947
331.0000000000,103.5797332575,103.4794024140
332.0000000000,106.3710729102,104.0887016845
333.0000000000,106.3710729102,104.5683293426
334.0000000000,102.9032439316,104.4321935183
335.0000000000,104.2646021752,104.2926427979
336.0000000000,107.0910667764,104.3646421845
337.0000000000,105.6601093789,104.3646421845
338.0000000000,104.9580073504,104.7681885879
339.0000000000,105.6601093789,104.9762262001
340.0000000000,109.3069842889,105.6166002358
341.0000000000,106.3710729102,105.8957342011
342.0000000000,102.9032439316,105.5489513032
343.0000000000,103.5797332575,105.2698173380
344.0000000000,110.0648762569,105.9859805705
345.0000000000,104.2646021752,105.9859805705
346.0000000000,97.7754008314,105.0544139760
347.0000000000,99.0119720645,104.3896002446
348.0000000000,102.9032439316,104.1841239027
349.0000000000,104.9580073504,104.1139136998
350.0000000000,102.9032439316,103.4735396641
351.0000000000,103.5797332575,103.1944056988
352.0000000000,106.3710729102,103.5411885967
353.0000000000,105.6601093789,103.7492262088
354.0000000000,102.9032439316,103.0330629763
355.0000000000,104.2646021752,103.0330629763
356.0000000000,107.0910667764,103.9646295708
357.0000000000,103.5797332575,104.4214056901
358.0000000000,100.9225433161,104.2233356285
359.0000000000,100.2780802051,103.7553429140
360.0000000000,105.6601093789,104.0310294587
361.0000000000,102.9032439316,103.9633805262
362.0000000000,100.2780802051,103.3540812556
363.0000000000,100.9225433161,102.8803246494
364.0000000000,100.9225433161,102.6822545878
365.0000000000,103.5797332575,102.6137676961
366.0000000000,105.6601093789,102.4706719563
367.0000000000,107.0910667764,102.8218053082
368.0000000000,99.0119720645,102.6307481830
369.0000000000,103.5797332575,102.9609134883
370.0000000000,99.6412682713,102.3590293775
371.0000000000,100.2780802051,102.0965130049
372.0000000000,104.9580073504,102.5645057194
373.0000000000,106.3710729102,103.1093586788
374.0000000000,100.2780802051,103.0449123677
375.0000000000,101.5747963290,102.8444186748
376.0000000000,107.0910667764,102.9875144146
377.0000000000,104.2646021752,102.7048679545
378.0000000000,106.3710729102,103.4407780390
379.0000000000,106.3710729102,103.7199120043
380.0000000000,115.6599029952,105.3217754767
381.0000000000,100.9225433161,105.3862217878
382.0000000000,100.2780802051,104.9182290733
