t,z
195.0,70.95201541890866
196.0,68.97404963883243
197.0,68.65410658765225
198.0,69.95032399693449
199.0,68.65410658765225
200.0,68.97404963883243
201.0,68.02223705995355
202.0,66.7896423323799
203.0,66.48779626059645
204.0,65.3047092170089
205.0,64.44209439643933
206.0,65.59689530302624
207.0,65.59689530302624
208.0,65.59689530302624
209.0,66.7896423323799
210.0,65.59689530302624
211.0,65.3047092170089
212.0,65.59689530302624
213.0,63.599819374774626
214.0,64.15911188536178
215.0,64.15911188536178
216.0,63.87836231999941
217.0,65.59689530302624
218.0,66.48779626059645
219.0,66.7896423323799
220.0,66.7896423323799
221.0,68.97404963883243
222.0,69.95032399693449
223.0,69.95032399693449
224.0,70.28134842428764
225.0,69.62212327326358
226.0,70.61523315373492
227.0,70.95201541890866
228.0,71.2917331025032
229.0,74.11992135423625
230.0,74.11992135423625
231.0,73.75527379255409
232.0,77.16009669995111
233.0,77.55621660607466
234.0,77.16009669995111
235.0,77.16009669995111
236.0,76.76767088833913
237.0,76.37888773605995
238.0,76.76767088833913
239.0,76.76767088833913
240.0,78.35974933042611
241.0,77.16009669995111
242.0,76.76767088833913
243.0,77.16009669995111
244.0,78.76726997687231
245.0,78.76726997687231
246.0,80.01351795789061
247.0,80.43702143600552
248.0,81.29651736461385
249.0,79.5940972051214
250.0,79.5940972051214
251.0,80.01351795789061
252.0,81.73263318664259
253.0,80.01351795789061
254.0,80.01351795789061
255.0,80.43702143600552
256.0,82.17307853612358
257.0,80.43702143600552
258.0,80.8646675441235
259.0,81.29651736461385
260.0,82.61791820656622
261.0,85.38303333627323
262.0,83.52104621396431
263.0,83.52104621396431
264.0,85.38303333627323
265.0,85.38303333627323
266.0,87.32323008722393
267.0,87.82108002988049
268.0,89.34666976983232
269.0,93.10473457855282
270.0,92.55001836231199
271.0,92.55001836231199
272.0,93.10473457855282
273.0,96.56734482779825
274.0,95.97370357313925
275.0,96.56734482779825
276.0,98.39005931319605
277.0,96.56734482779825
278.0,95.97370357313925
279.0,97.16787042949227
280.0,96.56734482779825
281.0,97.7754008313928
282.0,97.7754008313928
283.0,97.16787042949227
284.0,98.39005931319605
285.0,101.5747963289504
286.0,97.7754008313928
287.0,99.01197206452022
288.0,99.01197206452022
289.0,96.56734482779825
290.0,100.27808020511569
291.0,100.9225433161461
292.0,95.38682895832281
293.0,97.7754008313928
294.0,97.7754008313928
295.0,98.39005931319605
296.0,96.56734482779825
297.0,95.97370357313925
298.0,95.38682895832281
299.0,96.56734482779825
300.0,101.5747963289504
301.0,99.64126827127339
302.0,97.7754008313928
303.0,98.39005931319605
304.0,97.7754008313928
305.0,95.38682895832281
306.0,95.97370357313925
307.0,95.97370357313925
308.0,95.97370357313925
309.0,93.10473457855282
310.0,97.7754008313928
311.0,99.01197206452022
312.0,96.56734482779825
313.0,96.56734482779825
314.0,97.7754008313928
315.0,97.7754008313928
316.0,97.7754008313928
317.0,100.9225433161461
318.0,97.7754008313928
319.0,98.39005931319605
320.0,100.9225433161461
321.0,99.01197206452022
322.0,100.27808020511569
323.0,101.5747963289504
324.0,104.26460217515344
325.0,105.66010937888369
326.0,106.37107291017698
327.0,105.66010937888369
328.0,100.9225433161461
329.0,103.57973325749407
330.0,102.90324393162369
331.0,103.57973325749407
332.0,106.37107291017698
333.0,106.37107291017698
334.0,102.90324393162369
335.0,104.26460217515344
336.0,107.09106677643179
337.0,105.66010937888369
338.0,104.95800735039303
339.0,105.66010937888369
340.0,109.30698428892545
341.0,106.37107291017698
342.0,102.90324393162369
343.0,103.57973325749407
344.0,110.06487625693838
345.0,104.26460217515344
346.0,97.7754008313928
347.0,99.01197206452022
348.0,102.90324393162369
349.0,104.95800735039303
350.0,102.90324393162369
351.0,103.57973325749407
352.0,106.37107291017698
353.0,105.66010937888369
354.0,102.90324393162369
355.0,104.26460217515344
356.0,107.09106677643179
357.0,103.57973325749407
358.0,100.9225433161461
359.0,100.27808020511569
360.0,105.66010937888369
361.0,102.90324393162369
362.0,100.27808020511569
363.0,100.9225433161461
364.0,100.9225433161461
365.0,103.57973325749407
366.0,105.66010937888369
367.0,107.09106677643179
368.0,99.01197206452022
369.0,103.57973325749407
370.0,99.64126827127339
371.0,100.27808020511569
372.0,104.95800735039303
373.0,106.37107291017698
374.0,100.27808020511569
375.0,101.5747963289504
376.0,107.09106677643179
377.0,104.26460217515344
378.0,106.37107291017698
379.0,106.37107291017698
380.0,115.65990299518232
381.0,100.9225433161461
382.0,100.27808020511569
383.0,100.27808020511569
384.0,111.6106834125183
385.0,100.9225433161461
386.0,100.27808020511569
387.0,101.5747963289504
388.0,103.57973325749407
389.0,104.26460217515344
390.0,105.66010937888369
391.0,107.09106677643179
392.0,101.5747963289504
393.0,102.23498134215313
394.0,106.37107291017698
395.0,104.95800735039303
396.0,106.37107291017698
397.0,106.37107291017698
398.0,105.66010937888369
399.0,106.37107291017698
400.0,104.26460217515344
401.0,104.26460217515344
402.0,102.90324393162369
403.0,104.26460217515344
404.0,100.27808020511569
405.0,97.7754008313928
406.0,100.9225433161461
407.0,100.27808020511569
408.0,100.9225433161461
409.0,99.01197206452022
410.0,97.7754008313928
411.0,98.39005931319605
412.0,99.01197206452022
413.0,99.01197206452022
414.0,100.9225433161461
415.0,102.90324393162369
416.0,102.90324393162369
417.0,94.80660594432865
418.0,98.39005931319605
419.0,100.9225433161461
420.0,101.5747963289504
421.0,98.39005931319605
422.0,97.16787042949227
423.0,96.56734482779825
424.0,99.01197206452022
425.0,96.56734482779825
426.0,95.97370357313925
427.0,95.38682895832281
428.0,95.38682895832281
429.0,95.97370357313925
430.0,93.10473457855282
431.0,96.56734482779825
432.0,96.56734482779825
433.0,93.66566745505709
434.0,93.66566745505709
435.0,93.66566745505709
436.0,94.23292208513246
437.0,89.86616758391864
438.0,91.45882705691643
439.0,92.55001836231199
440.0,90.92215311230264
441.0,90.92215311230264
442.0,90.92215311230264
443.0,89.34666976983232
444.0,96.56734482779825
445.0,91.45882705691643
446.0,91.45882705691643
447.0,87.82108002988049
448.0,89.34666976983232
449.0,90.3912979962197
